# refreshed_at_utc=2026-06-17T01:00:09Z
# source_commit=ec6a5dfbe985
# php_src_revision=8c63ec400ce8e07c57a8d9499317b96a8beafb8b
# window_start_utc=2026-06-10T01:00Z
# window_hours=168
feature	ported_tests	passed_tests	upstream_tests	completed_hour_utc	newly_passed_tests	evidence
ptn-vqg1 temp stream wrappers row pack	3	3	3	2026-06-15T17:00Z	3	.runtime/merge-ptn-vqg1-temp-streams/summary-20260615T171433Z.txt
ptn-w17z.30 foreach mutation visibility row pack	11	7	11	2026-06-15T17:00Z	7	.runtime/merge-ptn-w17z30-foreach-mutation/summary-20260615T170725Z.txt
ptn-w17z.2 sort flags row pack	78	72	78	2026-06-15T16:00Z	72	.runtime/merge-ptn-w17z2-sort-flags/summary-20260615T164329Z.txt
ptn-w17z.22 compile-time include path variables	1	1	1	2026-06-15T16:00Z	1	.runtime/ptn-w17z22-acceptance-postrebase/summary-20260615T161501Z.txt
ptn-w17z.28 collected Generator runtime row pack	6	6	6	2026-06-15T16:00Z	6	.runtime/merge-ptn-w17z28-generator-runtime/summary-20260615T163051Z.txt
ptn-w17z.34 output-buffer compact row	1	1	1	2026-06-15T16:00Z	1	.runtime/merge-ptn-w17z34-output-buffer-compact/summary-20260615T162323Z.txt
ptn-w17z.35 compact closure this row pack	2	2	2	2026-06-15T16:00Z	2	.runtime/merge-ptn-w17z35-compact-closure-this/summary-20260615T160939Z.txt
ptn-w17z.33 extract globals refs row pack	3	3	3	2026-06-15T15:00Z	3	.runtime/merge-ptn-w17z33-extract-globals-refs/summary-20260615T155503Z.txt
ptn-w17z.25 serialize/unserialize reference identity row pack	6	6	6	2026-06-15T15:00Z	6	.runtime/merge-ptn-w17z25-serialize-reference-identity/summary-20260615T154738Z.txt
ptn-w17z.12 magic methods/lifecycle row pack	49	49	49	2026-06-15T14:00Z	49	.runtime/merge-ptn-w17z12-magic-lifecycle/summary-20260615T144358Z.txt
ptn-w17z.10 SKIPIF harness row pack	185	3	185	2026-06-15T17:00Z	3	.runtime/merge-ptn-w17z10-final-row-pack-classify/summary-20260615T170000Z.txt
ptn-w17z.14 Override attribute row pack	34	34	50	2026-06-15T13:00Z	34	.runtime/ptn-w17z14-row-pack-after-rebase2/summary-20260615T133103Z.txt
ptn-w17z.16 exception/backtrace/lifecycle row pack	41	41	41	2026-06-15T15:00Z	18	.runtime/merge-ptn-w17z16-exception-lifecycle/summary-20260615T151015Z.txt
ptn-w17z.18 numeric/math/conversions row pack	35	35	35	2026-06-15T14:00Z	35	tools/phpt-ptn-w17z18-numeric-math-conversions-row-pack.txt
ptn-w17z.16.3 exception formatting row pack	12	12	13	2026-06-15T16:00Z	12	.runtime/merge-ptn-w17z16-3-exception-format/summary-20260615T160318Z.txt
ptn-kia6 by-ref/reference-boundary row pack	107	75	126	2026-06-15T13:00Z	30	.runtime/merge-ptn-kia6-by-ref-boundary-after-metadata-gate/summary-20260615T134443Z.txt
